
2024/09/01 (15:59:05) | ===> btop++ v.1.3.2
2024/09/01 (15:59:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/01 (15:59:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (20:47:28) | ===> btop++ v.1.3.2
2024/09/04 (20:47:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/04 (20:47:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/05 (22:38:26) | ===> btop++ v.1.3.2
2024/09/05 (22:38:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:38:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (17:28:50) | ===> btop++ v.1.3.2
2024/09/06 (17:28:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (17:28:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (10:44:11) | ===> btop++ v.1.3.2
2024/09/09 (10:44:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (10:44:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (11:08:22) | ===> btop++ v.1.3.2
2024/09/09 (11:08:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (11:08:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (11:34:26) | ===> btop++ v.1.3.2
2024/09/09 (11:34:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (11:34:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/10 (17:15:16) | ===> btop++ v.1.3.2
2024/09/10 (17:15:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/10 (17:15:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/11 (12:57:41) | ===> btop++ v.1.3.2
2024/09/11 (12:57:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/11 (12:57:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/11 (22:21:50) | ===> btop++ v.1.3.2
2024/09/11 (22:21:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/11 (22:21:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/12 (11:13:20) | ===> btop++ v.1.3.2
2024/09/12 (11:13:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/12 (11:13:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/12 (11:52:01) | ===> btop++ v.1.3.2
2024/09/12 (11:52:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/12 (11:52:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/12 (12:00:52) | ===> btop++ v.1.3.2
2024/09/12 (12:00:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/12 (12:00:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/13 (15:02:00) | ===> btop++ v.1.3.2
2024/09/13 (15:02:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/13 (15:02:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/16 (20:33:33) | ===> btop++ v.1.3.2
2024/09/16 (20:33:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/16 (20:33:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/17 (10:39:27) | ===> btop++ v.1.3.2
2024/09/17 (10:39:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/17 (10:39:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/18 (10:22:54) | ===> btop++ v.1.3.2
2024/09/18 (10:22:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/18 (10:22:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/19 (17:21:06) | ===> btop++ v.1.3.2
2024/09/19 (17:21:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/19 (17:21:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/19 (17:22:26) | ===> btop++ v.1.3.2
2024/09/19 (17:22:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/19 (17:22:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/19 (17:24:39) | ===> btop++ v.1.3.2
2024/09/19 (17:24:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/19 (17:24:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/19 (19:59:52) | ===> btop++ v.1.3.2
2024/09/19 (19:59:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/19 (19:59:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/21 (10:55:02) | ===> btop++ v.1.3.2
2024/09/21 (10:55:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/21 (10:55:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (18:21:47) | ===> btop++ v.1.3.2
2024/09/22 (18:21:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/22 (18:21:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/23 (11:42:08) | ===> btop++ v.1.4.0
2024/09/23 (11:42:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/23 (11:42:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/23 (11:42:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (16:35:48) | ===> btop++ v.1.4.0
2024/09/24 (16:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (16:35:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/24 (16:35:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (10:00:08) | ===> btop++ v.1.4.0
2024/09/25 (10:00:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (10:00:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/25 (10:00:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (11:04:10) | ===> btop++ v.1.4.0
2024/09/25 (11:04:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (11:04:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/25 (11:04:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (22:23:11) | ===> btop++ v.1.4.0
2024/09/26 (22:23:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (22:23:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/26 (22:23:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (22:25:12) | ===> btop++ v.1.4.0
2024/09/26 (22:25:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (22:25:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/26 (22:25:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (10:09:26) | ===> btop++ v.1.4.0
2024/09/27 (10:09:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (10:09:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (10:09:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (10:29:58) | ===> btop++ v.1.4.0
2024/09/27 (10:29:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (10:29:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (10:29:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (11:13:18) | ===> btop++ v.1.4.0
2024/09/27 (11:13:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (11:13:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (11:13:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (15:25:07) | ===> btop++ v.1.4.0
2024/09/27 (15:25:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (15:25:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (15:25:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (15:37:06) | ===> btop++ v.1.4.0
2024/09/27 (15:37:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (15:37:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (15:37:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (18:44:12) | ===> btop++ v.1.4.0
2024/09/27 (18:44:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (18:44:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (18:44:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (18:52:02) | ===> btop++ v.1.4.0
2024/09/27 (18:52:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (18:52:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/27 (18:52:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (14:01:44) | ===> btop++ v.1.4.0
2024/09/28 (14:01:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (14:01:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/28 (14:01:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (16:52:32) | ===> btop++ v.1.4.0
2024/09/28 (16:52:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (16:52:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/28 (16:52:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (16:18:13) | ===> btop++ v.1.4.0
2024/09/29 (16:18:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/29 (16:18:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/29 (16:18:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (14:11:17) | ===> btop++ v.1.4.0
2024/09/30 (14:11:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (14:11:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/30 (14:11:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (14:11:22) | ===> btop++ v.1.4.0
2024/09/30 (14:11:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (14:11:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/30 (14:11:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (14:14:14) | ===> btop++ v.1.4.0
2024/09/30 (14:14:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (14:14:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/30 (14:14:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (10:40:02) | ===> btop++ v.1.4.0
2024/10/01 (10:40:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (10:40:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (10:40:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (11:01:03) | ===> btop++ v.1.4.0
2024/10/01 (11:01:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (11:01:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (11:01:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (11:02:21) | ===> btop++ v.1.4.0
2024/10/01 (11:02:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (11:02:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (11:02:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (11:11:31) | ===> btop++ v.1.4.0
2024/10/01 (11:11:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (11:11:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (11:11:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (18:02:31) | ===> btop++ v.1.4.0
2024/10/01 (18:02:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (18:02:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (18:02:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (20:18:13) | ===> btop++ v.1.4.0
2024/10/01 (20:18:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (20:18:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (20:18:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (20:22:45) | ===> btop++ v.1.4.0
2024/10/01 (20:22:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (20:22:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (20:22:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (20:46:26) | ===> btop++ v.1.4.0
2024/10/01 (20:46:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (20:46:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (20:46:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (20:51:46) | ===> btop++ v.1.4.0
2024/10/01 (20:51:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (20:51:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/01 (20:51:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (10:51:10) | ===> btop++ v.1.4.0
2024/10/03 (10:51:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (10:51:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/03 (10:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (10:09:52) | ===> btop++ v.1.4.0
2024/10/04 (10:09:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (10:09:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/04 (10:09:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (10:39:01) | ===> btop++ v.1.4.0
2024/10/04 (10:39:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (10:39:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/04 (10:39:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (14:31:59) | ===> btop++ v.1.4.0
2024/10/05 (14:31:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (14:31:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/05 (14:31:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (14:55:38) | ===> btop++ v.1.4.0
2024/10/05 (14:55:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (14:55:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/05 (14:55:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (10:20:01) | ===> btop++ v.1.4.0
2024/10/07 (10:20:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (10:20:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/07 (10:20:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (12:58:07) | ===> btop++ v.1.4.0
2024/10/07 (12:58:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (12:58:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/07 (12:58:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:24:04) | ===> btop++ v.1.4.0
2024/10/07 (14:24:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (14:24:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/07 (14:24:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:33:36) | ===> btop++ v.1.4.0
2024/10/07 (14:33:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (14:33:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/07 (14:33:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:34:56) | ===> btop++ v.1.4.0
2024/10/07 (14:34:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (14:34:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/07 (14:34:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (10:43:27) | ===> btop++ v.1.4.0
2024/10/08 (10:43:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (10:43:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/08 (10:43:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (09:54:45) | ===> btop++ v.1.4.0
2024/10/09 (09:54:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (09:54:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/09 (09:54:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (14:16:08) | ===> btop++ v.1.4.0
2024/10/09 (14:16:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (14:16:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/09 (14:16:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (14:18:07) | ===> btop++ v.1.4.0
2024/10/09 (14:18:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (14:18:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/09 (14:18:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (14:20:00) | ===> btop++ v.1.4.0
2024/10/09 (14:20:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (14:20:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/09 (14:20:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (19:18:38) | ===> btop++ v.1.4.0
2024/10/09 (19:18:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (19:18:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/09 (19:18:38) | WARNING: Intel GPU: Failed to initialize PMU
